,product,words,words_tagging,syllables,syllables_tagging
2278,옛날 닭볶음탕,"['옛날', ' ', '닭볶음탕']","['PRD_B', 'PRD_I', 'PRD_I']","['옛', '날', ' ', '닭', '볶', '음', '탕']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
2279,캔디종합 사탕,"['캔디종합', ' ', '사탕']","['PRD_B', '-', 'PRDG_B']","['캔', '디', '종', '합', ' ', '사', '탕']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
2280,초이스 아밀키 어나더 아몬드 슈가프리 우유,"['초이스', ' ', '아밀키', ' ', '어나더', ' ', '아몬드', ' ', '슈가프리', ' ', '우유']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['초', '이', '스', ' ', '아', '밀', '키', ' ', '어', '나', '더', ' ', '아', '몬', '드', ' ', '슈', '가', '프', '리', ' ', '우', '유']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
2281,파스키에 팡올레,"['파스키에', ' ', '팡올레']","['PRD_B', 'PRD_I', 'PRD_I']","['파', '스', '키', '에', ' ', '팡', '올', '레']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
2282,데어리워크스 파마산 치즈,"['데어리워크스', ' ', '파마산', ' ', '치즈']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['데', '어', '리', '워', '크', '스', ' ', '파', '마', '산', ' ', '치', '즈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
2283,파이만쥬 세트,"['파이만쥬', ' ', '세트']","['PRD_B', 'PRD_I', 'PRD_I']","['파', '이', '만', '쥬', ' ', '세', '트']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
2284,덴마크 우리아기치즈 어린이치즈,"['덴마크', ' ', '우리아기치즈', ' ', '어린이치즈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['덴', '마', '크', ' ', '우', '리', '아', '기', '치', '즈', ' ', '어', '린', '이', '치', '즈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
2285,해피카우 포션치즈,"['해피카우', ' ', '포션치즈']","['PRD_B', 'PRD_I', 'PRD_I']","['해', '피', '카', '우', ' ', '포', '션', '치', '즈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
2286,덴마크 무항생제인증 우유,"['덴마크', ' ', '무항생제인증', ' ', '우유']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['덴', '마', '크', ' ', '무', '항', '생', '제', '인', '증', ' ', '우', '유']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
2287,서울스낵 찹쌀과자 조청맛,"['서울스낵', ' ', '찹쌀과자', ' ', '조청맛']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['서', '울', '스', '낵', ' ', '찹', '쌀', '과', '자', ' ', '조', '청', '맛']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
2288,올반 정통 닭강정,"['올반', ' ', '정통', ' ', '닭강정']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['올', '반', ' ', '정', '통', ' ', '닭', '강', '정']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
2289,롯데 호두,"['롯데', ' ', '호두']","['PRD_B', 'PRD_I', 'PRD_I']","['롯', '데', ' ', '호', '두']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
2290,멸균 소화가잘되는 저지방우유,"['멸균', ' ', '소화가잘되는', ' ', '저지방우유']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['멸', '균', ' ', '소', '화', '가', '잘', '되', '는', ' ', '저', '지', '방', '우', '유']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
2291,삼립 소프트에그타르트,"['삼립', ' ', '소프트에그타르트']","['PRD_B', 'PRD_I', 'PRD_I']","['삼', '립', ' ', '소', '프', '트', '에', '그', '타', '르', '트']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
2292,서울식품 미니치즈쿠키,"['서울식품', ' ', '미니치즈쿠키']","['PRD_B', 'PRD_I', 'PRD_I']","['서', '울', '식', '품', ' ', '미', '니', '치', '즈', '쿠', '키']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
2293,로러후즈 필라델피아 치즈케익플레인,"['로러후즈', ' ', '필라델피아', ' ', '치즈케익플레인']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['로', '러', '후', '즈', ' ', '필', '라', '델', '피', '아', ' ', '치', '즈', '케', '익', '플', '레', '인']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
2294,큐원 다크 컴파운드 칩스,"['큐원', ' ', '다크', ' ', '컴파운드', ' ', '칩스']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['큐', '원', ' ', '다', '크', ' ', '컴', '파', '운', '드', ' ', '칩', '스']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
2295,과자 230G,"['과자', ' ', '230G']","['PRDG_B', '-', 'PRD_B']","['과', '자', ' ', '2', '3', '0', 'G']","['PRDG_B', 'PRDG_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I']"
2296,레드베리 에너지바,"['레드베리', ' ', '에너지바']","['PRD_B', 'PRD_I', 'PRD_I']","['레', '드', '베', '리', ' ', '에', '너', '지', '바']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
2297,치즈 198G,"['치즈', ' ', '198G']","['PRDG_B', '-', 'PRD_B']","['치', '즈', ' ', '1', '9', '8', 'G']","['PRDG_B', 'PRDG_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I']"
도들샘 가마소테누룽지 김순자 김치명장 김치,"['도들샘', ' ', '가마소테누룽지', ' ', '김순자', ' ', '김치명장', ' ', '김치']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['도', '들', '샘', ' ', '가', '마', '소', '테', '누', '룽', '지', ' ', '김', '순', '자', ' ', '김', '치', '명', '장', ' ', '김', '치']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
후앙 치아바타와 호두파운드 세트,"['후앙', ' ', '치아바타', '와', ' ', '호두파운드', ' ', '세트']","['PRD_B', 'PRD_I', 'PRD_I', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I']","['후', '앙', ' ', '치', '아', '바', '타', '와', ' ', '호', '두', '파', '운', '드', ' ', '세', '트']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
피코크 제대로 맛을 내는 순두부찌개 양념 우유 730ML짜리,"['피코크', ' ', '제대로', ' ', '맛을', ' ', '내는', ' ', '순두부찌개', ' ', '양념', ' ', '우유', ' ', '730ML짜리']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', '-', 'PRD_B']","['피', '코', '크', ' ', '제', '대', '로', ' ', '맛', '을', ' ', '내', '는', ' ', '순', '두', '부', '찌', '개', ' ', '양', '념', ' ', '우', '유', ' ', '7', '3', '0', 'M', 'L', '짜', '리']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I', '-', 'PRD_B', 'PRD_I']"
덴마크 대니쉬 우유랑 스키틀즈 버라이어티팩,"['덴마크', ' ', '대니쉬', ' ', '우유', '랑', ' ', '스키틀즈', ' ', '버라이어티팩']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I']","['덴', '마', '크', ' ', '대', '니', '쉬', ' ', '우', '유', '랑', ' ', '스', '키', '틀', '즈', ' ', '버', '라', '이', '어', '티', '팩']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
초록마을 메추리알조림 스윙칩 과자,"['초록마을', ' ', '메추리알조림', ' ', '스윙칩', ' ', '과자']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRD_B', '-', 'PRDG_B']","['초', '록', '마', '을', ' ', '메', '추', '리', '알', '조', '림', ' ', '스', '윙', '칩', ' ', '과', '자']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
올반 정통 닭강정이랑 돌가마 돼지특수부위 왕덜미살,"['올반', ' ', '정통', ' ', '닭강정', '이랑', ' ', '돌가마', ' ', '돼지특수부위', ' ', '왕덜미살']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['올', '반', ' ', '정', '통', ' ', '닭', '강', '정', '이', '랑', ' ', '돌', '가', '마', ' ', '돼', '지', '특', '수', '부', '위', ' ', '왕', '덜', '미', '살']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
삼립 달콤한 화이트슈와 3200G짜리 김치,"['삼립', ' ', '달콤한', ' ', '화이트슈', '와', ' ', '3200G짜리', ' ', '김치']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', 'PRD_B', '-', 'PRDG_B']","['삼', '립', ' ', '달', '콤', '한', ' ', '화', '이', '트', '슈', '와', ' ', '3', '2', '0', '0', 'G', '짜', '리', ' ', '김', '치']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
그릴 닭가슴살 프랑스 프리미엄 미니 뺑라크림 냉동생지,"['그릴', ' ', '닭가슴살', ' ', '프랑스', ' ', '프리미엄', ' ', '미니', ' ', '뺑라크림', ' ', '냉동생지']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['그', '릴', ' ', '닭', '가', '슴', '살', ' ', '프', '랑', '스', ' ', '프', '리', '미', '엄', ' ', '미', '니', ' ', '뺑', '라', '크', '림', ' ', '냉', '동', '생', '지']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
키즈 포션 치즈랑 아이스크림 2L,"['키즈', ' ', '포션', ' ', '치즈', '랑', ' ', '아이스크림', ' ', '2L']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B', '-', '-', 'PRDG_B', '-', 'PRD_B']","['키', '즈', ' ', '포', '션', ' ', '치', '즈', '랑', ' ', '아', '이', '스', '크', '림', ' ', '2', 'L']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', 'PRDG_B', 'PRDG_I', 'PRDG_I', 'PRDG_I', 'PRDG_I']"
우유 240ML랑 하겐다즈 그린티 아몬드 멀티바 아이스크림,"['우유', ' ', '240ML', '랑', ' ', '하겐다즈', ' ', '그린티', ' ', '아몬드', ' ', '멀티바', ' ', '아이스크림']","['PRDG_B', '-', 'PRD_B', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['우', '유', ' ', '2', '4', '0', 'M', 'L', '랑', ' ', '하', '겐', '다', '즈', ' ', '그', '린', '티', ' ', '아', '몬', '드', ' ', '멀', '티', '바', ' ', '아', '이', '스', '크', '림']","['PRDG_B', 'PRDG_I', '-', 'PRD_B', 'PRD_I', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
피코크 레이디 핑거 티라미수 케이크 돌 워터젤리파인애플맛,"['피코크', ' ', '레이디', ' ', '핑거', ' ', '티라미수', ' ', '케이크', ' ', '돌', ' ', '워터젤리파인애플맛']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRD_B', 'PRD_I', 'PRD_I']","['피', '코', '크', ' ', '레', '이', '디', ' ', '핑', '거', ' ', '티', '라', '미', '수', ' ', '케', '이', '크', ' ', '돌', ' ', '워', '터', '젤', '리', '파', '인', '애', '플', '맛']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
일 드 프랑스 미니 브리 치즈와 큐빅 영양갱,"['일', ' ', '드', ' ', '프랑스', ' ', '미니', ' ', '브리', ' ', '치즈', '와', ' ', '큐빅', ' ', '영양갱']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I']","['일', ' ', '드', ' ', '프', '랑', '스', ' ', '미', '니', ' ', '브', '리', ' ', '치', '즈', '와', ' ', '큐', '빅', ' ', '영', '양', '갱']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
소막창구이 씨제이 비비고 썰은총각김치,"['소막창구이', ' ', '씨제이', ' ', '비비고', ' ', '썰은총각김치']","['PRD_B', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['소', '막', '창', '구', '이', ' ', '씨', '제', '이', ' ', '비', '비', '고', ' ', '썰', '은', '총', '각', '김', '치']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
씨제이 쁘띠첼 스윗푸딩밀크커스터드랑 씨제이 더건강한베이컨스테이크,"['씨제이', ' ', '쁘띠첼', ' ', '스윗푸딩밀크커스터드', '랑', ' ', '씨제이', ' ', '더건강한베이컨스테이크']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I']","['씨', '제', '이', ' ', '쁘', '띠', '첼', ' ', '스', '윗', '푸', '딩', '밀', '크', '커', '스', '터', '드', '랑', ' ', '씨', '제', '이', ' ', '더', '건', '강', '한', '베', '이', '컨', '스', '테', '이', '크']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
하니카스테라 소프트제리롤 세트랑 더 엑설런트디저트,"['하니카스테라', ' ', '소프트제리롤', ' ', '세트', '랑', ' ', '더', ' ', '엑설런트디저트']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I']","['하', '니', '카', '스', '테', '라', ' ', '소', '프', '트', '제', '리', '롤', ' ', '세', '트', '랑', ' ', '더', ' ', '엑', '설', '런', '트', '디', '저', '트']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
수제치즈돈까스랑 사탕 840G,"['수제치즈돈까스', '랑', ' ', '사탕', ' ', '840G']","['PRD_B', '-', '-', 'PRDG_B', '-', 'PRD_B']","['수', '제', '치', '즈', '돈', '까', '스', '랑', ' ', '사', '탕', ' ', '8', '4', '0', 'G']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', 'PRDG_B', 'PRDG_I', '-', 'PRD_B', 'PRD_I']"
고소한 우리쌀 누룽지 과자 선호 새우젓갈,"['고소한', ' ', '우리쌀', ' ', '누룽지', ' ', '과자', ' ', '선호', ' ', '새우젓갈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', '-', 'PRD_B', 'PRD_I', 'PRD_I']","['고', '소', '한', ' ', '우', '리', '쌀', ' ', '누', '룽', '지', ' ', '과', '자', ' ', '선', '호', ' ', '새', '우', '젓', '갈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
메로나 아이스크림과 쇠고기메추리알장조림,"['메로나', ' ', '아이스크림', '과', ' ', '쇠고기메추리알장조림']","['PRD_B', '-', 'PRDG_B', '-', '-', 'PRD_B']","['메', '로', '나', ' ', '아', '이', '스', '크', '림', '과', ' ', '쇠', '고', '기', '메', '추', '리', '알', '장', '조', '림']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
덴마크 우유랑 더김치 배추물김치,"['덴마크', ' ', '우유', '랑', ' ', '더김치', ' ', '배추물김치']","['PRD_B', '-', 'PRDG_B', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I']","['덴', '마', '크', ' ', '우', '유', '랑', ' ', '더', '김', '치', ' ', '배', '추', '물', '김', '치']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
소담김치만두 생생감자칩 오리지날,"['소담김치만두', ' ', '생생감자칩', ' ', '오리지날']","['PRD_B', '-', 'PRD_B', 'PRD_I', 'PRD_I']","['소', '담', '김', '치', '만', '두', ' ', '생', '생', '감', '자', '칩', ' ', '오', '리', '지', '날']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
씨제이 물만두랑 옛날 왕교자,"['씨제이', ' ', '물만두', '랑', ' ', '옛날', ' ', '왕교자']","['PRD_B', 'PRD_I', 'PRD_I', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I']","['씨', '제', '이', ' ', '물', '만', '두', '랑', ' ', '옛', '날', ' ', '왕', '교', '자']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
또로롱 바밤바 아이스크림 피코크 한입치즈돈까스,"['또로롱', ' ', '바밤바', ' ', '아이스크림', ' ', '피코크', ' ', '한입치즈돈까스']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B', '-', 'PRD_B', 'PRD_I', 'PRD_I']","['또', '로', '롱', ' ', '바', '밤', '바', ' ', '아', '이', '스', '크', '림', ' ', '피', '코', '크', ' ', '한', '입', '치', '즈', '돈', '까', '스']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
피코크 피콕반점 깐풍기와 풀무원 아임리얼 떠먹는 파인애플,"['피코크', ' ', '피콕반점', ' ', '깐풍기', '와', ' ', '풀무원', ' ', '아임리얼', ' ', '떠먹는', ' ', '파인애플']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['피', '코', '크', ' ', '피', '콕', '반', '점', ' ', '깐', '풍', '기', '와', ' ', '풀', '무', '원', ' ', '아', '임', '리', '얼', ' ', '떠', '먹', '는', ' ', '파', '인', '애', '플']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
스코 카라멜 사탕이랑 또로롱 팥빙수 아이스크림,"['스코', ' ', '카라멜', ' ', '사탕', '이랑', ' ', '또로롱', ' ', '팥빙수', ' ', '아이스크림']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['스', '코', ' ', '카', '라', '멜', ' ', '사', '탕', '이', '랑', ' ', '또', '로', '롱', ' ', '팥', '빙', '수', ' ', '아', '이', '스', '크', '림']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
풀무원 아임리얼 떠먹는 복숭아 꼬마돈까스,"['풀무원', ' ', '아임리얼', ' ', '떠먹는', ' ', '복숭아', ' ', '꼬마돈까스']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRD_B']","['풀', '무', '원', ' ', '아', '임', '리', '얼', ' ', '떠', '먹', '는', ' ', '복', '숭', '아', ' ', '꼬', '마', '돈', '까', '스']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
훈제 닭가슴살과 속초아바이마을전통젓갈 명태회무침,"['훈제', ' ', '닭가슴살', '과', ' ', '속초아바이마을전통젓갈', ' ', '명태회무침']","['PRD_B', 'PRD_I', 'PRD_I', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I']","['훈', '제', ' ', '닭', '가', '슴', '살', '과', ' ', '속', '초', '아', '바', '이', '마', '을', '전', '통', '젓', '갈', ' ', '명', '태', '회', '무', '침']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
수작 광양식 소불고기와 리틀팝 카페라떼,"['수작', ' ', '광양식', ' ', '소불고기', '와', ' ', '리틀팝', ' ', '카페라떼']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I']","['수', '작', ' ', '광', '양', '식', ' ', '소', '불', '고', '기', '와', ' ', '리', '틀', '팝', ' ', '카', '페', '라', '떼']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
삼립 잉글리쉬 머핀과 풀무원 호떡만두,"['삼립', ' ', '잉글리쉬', ' ', '머핀', '과', ' ', '풀무원', ' ', '호떡만두']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I']","['삼', '립', ' ', '잉', '글', '리', '쉬', ' ', '머', '핀', '과', ' ', '풀', '무', '원', ' ', '호', '떡', '만', '두']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
구르메 고르곤졸라와 동원 플레인 치즈,"['구르메', ' ', '고르곤졸라', '와', ' ', '동원', ' ', '플레인', ' ', '치즈']","['PRD_B', 'PRD_I', 'PRD_I', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['구', '르', '메', ' ', '고', '르', '곤', '졸', '라', '와', ' ', '동', '원', ' ', '플', '레', '인', ' ', '치', '즈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
남양 우유랑 속초 선호 백명란 분란,"['남양', ' ', '우유', '랑', ' ', '속초', ' ', '선호', ' ', '백명란', ' ', '분란']","['PRD_B', '-', 'PRDG_B', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['남', '양', ' ', '우', '유', '랑', ' ', '속', '초', ' ', '선', '호', ' ', '백', '명', '란', ' ', '분', '란']","['PRD_B', 'PRD_I', '-', 'PRDG_B', 'PRDG_I', '-', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
