product,words,words_tagging,syllables,syllables_tagging
돌 워터젤리파인애플,"['돌', ' ', '워터젤리파인애플']","['PRD_B', 'PRD_I', 'PRD_I']","['돌', ' ', '워', '터', '젤', '리', '파', '인', '애', '플']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
어메이징 훈제삼겹,"['어메이징', ' ', '훈제삼겹']","['PRD_B', 'PRD_I', 'PRD_I']","['어', '메', '이', '징', ' ', '훈', '제', '삼', '겹']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
프랑스 프리미엄 까레루스띠끄 파베이크,"['프랑스', ' ', '프리미엄', ' ', '까레루스띠끄', ' ', '파베이크']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['프', '랑', '스', ' ', '프', '리', '미', '엄', ' ', '까', '레', '루', '스', '띠', '끄', ' ', '파', '베', '이', '크']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
과자 301G,"['과자', ' ', '301G']","['PRDG_B', '-', 'PRD_B']","['과', '자', ' ', '3', '0', '1', 'G']","['PRDG_B', 'PRDG_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I']"
리코타 치즈,"['리코타', ' ', '치즈']","['PRD_B', '-', 'PRDG_B']","['리', '코', '타', ' ', '치', '즈']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
츄러스 과자,"['츄러스', ' ', '과자']","['PRD_B', '-', 'PRDG_B']","['츄', '러', '스', ' ', '과', '자']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
시크릿쥬쥬 엘이디매직캔디,"['시크릿쥬쥬', ' ', '엘이디매직캔디']","['PRD_B', 'PRD_I', 'PRD_I']","['시', '크', '릿', '쥬', '쥬', ' ', '엘', '이', '디', '매', '직', '캔', '디']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
땅콩알사탕,['땅콩알사탕'],['PRD_B'],"['땅', '콩', '알', '사', '탕']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
고메매쉬드포테이토함박스테이크,['고메매쉬드포테이토함박스테이크'],['PRD_B'],"['고', '메', '매', '쉬', '드', '포', '테', '이', '토', '함', '박', '스', '테', '이', '크']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
씨제이 고메매쉬드포테이토함박스테이크,"['씨제이', ' ', '고메매쉬드포테이토함박스테이크']","['PRD_B', 'PRD_I', 'PRD_I']","['씨', '제', '이', ' ', '고', '메', '매', '쉬', '드', '포', '테', '이', '토', '함', '박', '스', '테', '이', '크']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
사탕 99G,"['사탕', ' ', '99G']","['PRDG_B', '-', 'PRD_B']","['사', '탕', ' ', '9', '9', 'G']","['PRDG_B', 'PRDG_I', '-', 'PRD_B', 'PRD_I', 'PRD_I']"
하선정알마늘,['하선정알마늘'],['PRD_B'],"['하', '선', '정', '알', '마', '늘']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
눈을 감자,"['눈을', ' ', '감자']","['PRD_B', 'PRD_I', 'PRD_I']","['눈', '을', ' ', '감', '자']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
솜절미 과자,"['솜절미', ' ', '과자']","['PRD_B', '-', 'PRDG_B']","['솜', '절', '미', ' ', '과', '자']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
피코크 솜절미 과자,"['피코크', ' ', '솜절미', ' ', '과자']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['피', '코', '크', ' ', '솜', '절', '미', ' ', '과', '자']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
래핑카우 체다,"['래핑카우', ' ', '체다']","['PRD_B', 'PRD_I', 'PRD_I']","['래', '핑', '카', '우', ' ', '체', '다']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
구워먹는 치즈,"['구워먹는', ' ', '치즈']","['PRD_B', '-', 'PRDG_B']","['구', '워', '먹', '는', ' ', '치', '즈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
풀무원탱글새우물만두,['풀무원탱글새우물만두'],['PRD_B'],"['풀', '무', '원', '탱', '글', '새', '우', '물', '만', '두']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
프리미엄 세트 아이스크림,"['프리미엄', ' ', '세트', ' ', '아이스크림']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['프', '리', '미', '엄', ' ', '세', '트', ' ', '아', '이', '스', '크', '림']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I', 'PRDG_I', 'PRDG_I', 'PRDG_I']"
아이스크림 1L,"['아이스크림', ' ', '1L']","['PRDG_B', '-', 'PRD_B']","['아', '이', '스', '크', '림', ' ', '1', 'L']","['PRDG_B', 'PRDG_I', 'PRDG_I', 'PRDG_I', 'PRDG_I', '-', 'PRD_B', 'PRD_I']"
우리쌀로 만든 라이스케이크,"['우리쌀로', ' ', '만든', ' ', '라이스케이크']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['우', '리', '쌀', '로', ' ', '만', '든', ' ', '라', '이', '스', '케', '이', '크']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
화과방 우리쌀로 만든 라이스케이크,"['화과방', ' ', '우리쌀로', ' ', '만든', ' ', '라이스케이크']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['화', '과', '방', ' ', '우', '리', '쌀', '로', ' ', '만', '든', ' ', '라', '이', '스', '케', '이', '크']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
아이스 군고구마,"['아이스', ' ', '군고구마']","['PRD_B', 'PRD_I', 'PRD_I']","['아', '이', '스', ' ', '군', '고', '구', '마']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
왕쭈꾸미 만두,"['왕쭈꾸미', ' ', '만두']","['PRD_B', 'PRD_I', 'PRD_I']","['왕', '쭈', '꾸', '미', ' ', '만', '두']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
대학두유,['대학두유'],['PRD_B'],"['대', '학', '두', '유']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I']"
쭈꾸뿅,['쭈꾸뿅'],['PRD_B'],"['쭈', '꾸', '뿅']","['PRD_B', 'PRD_I', 'PRD_I']"
김치 300G,"['김치', ' ', '300G']","['PRDG_B', '-', 'PRD_B']","['김', '치', ' ', '3', '0', '0', 'G']","['PRDG_B', 'PRDG_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I']"
킹즈 왕소시지,"['킹즈', ' ', '왕소시지']","['PRD_B', 'PRD_I', 'PRD_I']","['킹', '즈', ' ', '왕', '소', '시', '지']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
오래오래맛있는 총각김치,"['오래오래맛있는', ' ', '총각김치']","['PRD_B', 'PRD_I', 'PRD_I']","['오', '래', '오', '래', '맛', '있', '는', ' ', '총', '각', '김', '치']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
종가집 오래오래맛있는 총각김치,"['종가집', ' ', '오래오래맛있는', ' ', '총각김치']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['종', '가', '집', ' ', '오', '래', '오', '래', '맛', '있', '는', ' ', '총', '각', '김', '치']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
매콤제육볶음,['매콤제육볶음'],['PRD_B'],"['매', '콤', '제', '육', '볶', '음']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
렌지온 매콤제육볶음,"['렌지온', ' ', '매콤제육볶음']","['PRD_B', 'PRD_I', 'PRD_I']","['렌', '지', '온', ' ', '매', '콤', '제', '육', '볶', '음']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
과자 90G,"['과자', ' ', '90G']","['PRDG_B', '-', 'PRD_B']","['과', '자', ' ', '9', '0', 'G']","['PRDG_B', 'PRDG_I', '-', 'PRD_B', 'PRD_I', 'PRD_I']"
간장마늘쫑,['간장마늘쫑'],['PRD_B'],"['간', '장', '마', '늘', '쫑']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
대림선 간장마늘쫑,"['대림선', ' ', '간장마늘쫑']","['PRD_B', 'PRD_I', 'PRD_I']","['대', '림', '선', ' ', '간', '장', '마', '늘', '쫑']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
쇠고기육포,['쇠고기육포'],['PRD_B'],"['쇠', '고', '기', '육', '포']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
케이미트 쇠고기육포,"['케이미트', ' ', '쇠고기육포']","['PRD_B', 'PRD_I', 'PRD_I']","['케', '이', '미', '트', ' ', '쇠', '고', '기', '육', '포']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
맛밤,['맛밤'],['PRD_B'],"['맛', '밤']","['PRD_B', 'PRD_I']"
롤리팝 아이스츄잉,"['롤리팝', ' ', '아이스츄잉']","['PRD_B', 'PRD_I', 'PRD_I']","['롤', '리', '팝', ' ', '아', '이', '스', '츄', '잉']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
더건강한 그릴비엔나,"['더건강한', ' ', '그릴비엔나']","['PRD_B', 'PRD_I', 'PRD_I']","['더', '건', '강', '한', ' ', '그', '릴', '비', '엔', '나']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
씨제이 더건강한 그릴비엔나,"['씨제이', ' ', '더건강한', ' ', '그릴비엔나']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['씨', '제', '이', ' ', '더', '건', '강', '한', ' ', '그', '릴', '비', '엔', '나']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
만체고 치즈,"['만체고', ' ', '치즈']","['PRD_B', '-', 'PRDG_B']","['만', '체', '고', ' ', '치', '즈']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
엘비 우유,"['엘비', ' ', '우유']","['PRD_B', '-', 'PRDG_B']","['엘', '비', ' ', '우', '유']","['PRD_B', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
파스퇴르 엘비 우유,"['파스퇴르', ' ', '엘비', ' ', '우유']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['파', '스', '퇴', '르', ' ', '엘', '비', ' ', '우', '유']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
과자 160G,"['과자', ' ', '160G']","['PRDG_B', '-', 'PRD_B']","['과', '자', ' ', '1', '6', '0', 'G']","['PRDG_B', 'PRDG_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I']"
커피 초코 퍼지 아이스크림,"['커피', ' ', '초코', ' ', '퍼지', ' ', '아이스크림']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['커', '피', ' ', '초', '코', ' ', '퍼', '지', ' ', '아', '이', '스', '크', '림']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I', 'PRDG_I', 'PRDG_I', 'PRDG_I']"
위즐 커피 초코 퍼지 아이스크림,"['위즐', ' ', '커피', ' ', '초코', ' ', '퍼지', ' ', '아이스크림']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['위', '즐', ' ', '커', '피', ' ', '초', '코', ' ', '퍼', '지', ' ', '아', '이', '스', '크', '림']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I', 'PRDG_I', 'PRDG_I', 'PRDG_I']"
김치 100G,"['김치', ' ', '100G']","['PRDG_B', '-', 'PRD_B']","['김', '치', ' ', '1', '0', '0', 'G']","['PRDG_B', 'PRDG_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I']"
치즈 108G,"['치즈', ' ', '108G']","['PRDG_B', '-', 'PRD_B']","['치', '즈', ' ', '1', '0', '8', 'G']","['PRDG_B', 'PRDG_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I']"
포차 직화구이 무뼈닭발,"['포차', ' ', '직화구이', ' ', '무뼈닭발']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['포', '차', ' ', '직', '화', '구', '이', ' ', '무', '뼈', '닭', '발']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
굽네 포차 직화구이 무뼈닭발,"['굽네', ' ', '포차', ' ', '직화구이', ' ', '무뼈닭발']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['굽', '네', ' ', '포', '차', ' ', '직', '화', '구', '이', ' ', '무', '뼈', '닭', '발']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
스틱캔디,['스틱캔디'],['PRD_B'],"['스', '틱', '캔', '디']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I']"
이마트 스틱캔디,"['이마트', ' ', '스틱캔디']","['PRD_B', 'PRD_I', 'PRD_I']","['이', '마', '트', ' ', '스', '틱', '캔', '디']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
바다먹자 국내산 간장,"['바다먹자', ' ', '국내산', ' ', '간장']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['바', '다', '먹', '자', ' ', '국', '내', '산', ' ', '간', '장']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
아이스크림 2L,"['아이스크림', ' ', '2L']","['PRDG_B', '-', 'PRD_B']","['아', '이', '스', '크', '림', ' ', '2', 'L']","['PRDG_B', 'PRDG_I', 'PRDG_I', 'PRDG_I', 'PRDG_I', '-', 'PRD_B', 'PRD_I']"
치즈 226G,"['치즈', ' ', '226G']","['PRDG_B', '-', 'PRD_B']","['치', '즈', ' ', '2', '2', '6', 'G']","['PRDG_B', 'PRDG_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I']"
생얼음 아이스크림,"['생얼음', ' ', '아이스크림']","['PRD_B', '-', 'PRDG_B']","['생', '얼', '음', ' ', '아', '이', '스', '크', '림']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I', 'PRDG_I', 'PRDG_I', 'PRDG_I']"
피코크 김치,"['피코크', ' ', '김치']","['PRD_B', '-', 'PRDG_B']","['피', '코', '크', ' ', '김', '치']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
크림치즈 플레인,"['크림치즈', ' ', '플레인']","['PRD_B', 'PRD_I', 'PRD_I']","['크', '림', '치', '즈', ' ', '플', '레', '인']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
알라 크림치즈 플레인,"['알라', ' ', '크림치즈', ' ', '플레인']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['알', '라', ' ', '크', '림', '치', '즈', ' ', '플', '레', '인']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
그린티 아이스크림,"['그린티', ' ', '아이스크림']","['PRD_B', '-', 'PRDG_B']","['그', '린', '티', ' ', '아', '이', '스', '크', '림']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I', 'PRDG_I', 'PRDG_I', 'PRDG_I']"
마포서서갈비양념 엘에이갈비구이,"['마포서서갈비양념', ' ', '엘에이갈비구이']","['PRD_B', 'PRD_I', 'PRD_I']","['마', '포', '서', '서', '갈', '비', '양', '념', ' ', '엘', '에', '이', '갈', '비', '구', '이']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
꼬막무침,['꼬막무침'],['PRD_B'],"['꼬', '막', '무', '침']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I']"
체다치즈,['체다치즈'],['PRD_B'],"['체', '다', '치', '즈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I']"
동원 체다치즈,"['동원', ' ', '체다치즈']","['PRD_B', 'PRD_I', 'PRD_I']","['동', '원', ' ', '체', '다', '치', '즈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
삼색나물,['삼색나물'],['PRD_B'],"['삼', '색', '나', '물']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I']"
더반찬 삼색나물,"['더반찬', ' ', '삼색나물']","['PRD_B', 'PRD_I', 'PRD_I']","['더', '반', '찬', ' ', '삼', '색', '나', '물']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
아이스크림 100ML,"['아이스크림', ' ', '100ML']","['PRDG_B', '-', 'PRD_B']","['아', '이', '스', '크', '림', ' ', '1', '0', '0', 'M', 'L']","['PRDG_B', 'PRDG_I', 'PRDG_I', 'PRDG_I', 'PRDG_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
뉴트로 비락우유 클래식,"['뉴트로', ' ', '비락우유', ' ', '클래식']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['뉴', '트', '로', ' ', '비', '락', '우', '유', ' ', '클', '래', '식']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
얇은피꽉찬속 고기만두,"['얇은피꽉찬속', ' ', '고기만두']","['PRD_B', 'PRD_I', 'PRD_I']","['얇', '은', '피', '꽉', '찬', '속', ' ', '고', '기', '만', '두']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
풀무원 얇은피꽉찬속 고기만두,"['풀무원', ' ', '얇은피꽉찬속', ' ', '고기만두']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['풀', '무', '원', ' ', '얇', '은', '피', '꽉', '찬', '속', ' ', '고', '기', '만', '두']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
피규어 사탕,"['피규어', ' ', '사탕']","['PRD_B', '-', 'PRDG_B']","['피', '규', '어', ' ', '사', '탕']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
크라운 피규어 사탕,"['크라운', ' ', '피규어', ' ', '사탕']","['PRD_B', 'PRD_I', 'PRD_I', '-', 'PRDG_B']","['크', '라', '운', ' ', '피', '규', '어', ' ', '사', '탕']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', '-', 'PRDG_B', 'PRDG_I']"
마파두부덮밥소스,['마파두부덮밥소스'],['PRD_B'],"['마', '파', '두', '부', '덮', '밥', '소', '스']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
멸균우유,['멸균우유'],['PRD_B'],"['멸', '균', '우', '유']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I']"
매일 멸균우유,"['매일', ' ', '멸균우유']","['PRD_B', 'PRD_I', 'PRD_I']","['매', '일', ' ', '멸', '균', '우', '유']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
사탕 63G,"['사탕', ' ', '63G']","['PRDG_B', '-', 'PRD_B']","['사', '탕', ' ', '6', '3', 'G']","['PRDG_B', 'PRDG_I', '-', 'PRD_B', 'PRD_I', 'PRD_I']"
우유 240ML,"['우유', ' ', '240ML']","['PRDG_B', '-', 'PRD_B']","['우', '유', ' ', '2', '4', '0', 'M', 'L']","['PRDG_B', 'PRDG_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
뼈로가는 칼슘치즈,"['뼈로가는', ' ', '칼슘치즈']","['PRD_B', 'PRD_I', 'PRD_I']","['뼈', '로', '가', '는', ' ', '칼', '슘', '치', '즈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
매일 뼈로가는 칼슘치즈,"['매일', ' ', '뼈로가는', ' ', '칼슘치즈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['매', '일', ' ', '뼈', '로', '가', '는', ' ', '칼', '슘', '치', '즈']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
정통 닭가슴살 소시지 프랑크 오리지널,"['정통', ' ', '닭가슴살', ' ', '소시지', ' ', '프랑크', ' ', '오리지널']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['정', '통', ' ', '닭', '가', '슴', '살', ' ', '소', '시', '지', ' ', '프', '랑', '크', ' ', '오', '리', '지', '널']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
국내산 만든 안흥흑미찐빵,"['국내산', ' ', '만든', ' ', '안흥흑미찐빵']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']","['국', '내', '산', ' ', '만', '든', ' ', '안', '흥', '흑', '미', '찐', '빵']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
프로바이오틱,['프로바이오틱'],['PRD_B'],"['프', '로', '바', '이', '오', '틱']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
우유 720ML,"['우유', ' ', '720ML']","['PRDG_B', '-', 'PRD_B']","['우', '유', ' ', '7', '2', '0', 'M', 'L']","['PRDG_B', 'PRDG_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
사탕 400G,"['사탕', ' ', '400G']","['PRDG_B', '-', 'PRD_B']","['사', '탕', ' ', '4', '0', '0', 'G']","['PRDG_B', 'PRDG_I', '-', 'PRD_B', 'PRD_I', 'PRD_I', 'PRD_I']"
웰빙오징어젓매운맛,['웰빙오징어젓매운맛'],['PRD_B'],"['웰', '빙', '오', '징', '어', '젓', '매', '운', '맛']","['PRD_B', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I', 'PRD_I']"
